id,title,description,rating,price,duration,url
career-guide-free,"Бесплатная профориента­ция","Бесплатная профориентация для взрослых от Skillbox: выбери новую профессию из 34 вариантов. Курс ведёт: Екатерина Боровец, психолог и профориентолог. Помощь с выбором профессии на онлайн-курсе по профориентации в Москве, Санкт-Петербурге и в любом регионе РФ.",N/A,N/A,N/A,https://skillbox.ru/course/career-guide-free/
1187,"Профессия Python-разработчик","⚡️Онлайн-курс программирования «Python-разработчик» от Skillbox для начинающих: станьте программистом на языке Python с нуля за 10 месяцев. ✅ Более 10 проектов в портфолио, обучение без расписаний и жёстких дедлайнов, возможность стажировки в СКБ Контур. ⭐Обучение на питон разработчика онлайн с сертификатом и помощью в трудоустройстве.","4.8 из 5",N/A,N/A,https://skillbox.ru/course/profession-python/
4191,"Менеджер маркетплейсов: продвинутый курс с нуля","⚡️Онлайн-курс «Менеджер маркетплейсов» от Skillbox для начинающих: станьте менеджером маркетплейсов с нуля за 6 месяцев. ✅ Вы научитесь продвигать магазины на маркетплейска: Wildberries, Ozon, Авито и др. ⭐ Экономьте до 150 000 рублей, получите 10 000 бонусов на Яндекс и 30 000 на Мегамаркет! Обучение на менеджера маркетплейсов онлайн с сертификатом и помощь в трудоустройстве!","4.9 из 5",N/A,N/A,https://skillbox.ru/course/profession-marketplace-manager/
profession-graphdesigner,"Профессия Графический дизайнер PRO","⚡️Онлайн-курс «Графический дизайнер PRO» от Skillbox для начинающих: станьте графическим дизайнером с нуля за 20 месяцев. ✅ Вы научитесь создавать фирменный стиль, дизайн упаковки и брендинг. ⭐ Создай дизайн для брендов через практику с 11+ кейсами. Обучение на графического дизайнера онлайн с сертификатом и помощь в трудоустройстве!","4.9 из 5",N/A,N/A,https://skillbox.ru/course/profession-graphdesigner/
973,"Профессия Дизайнер интерьеров","⚡️Онлайн-курс «Дизайнер интерьеров» от Skillbox для начинающих: станьте дизайнером интерьера с нуля за 12 месяцев. ✅ 8 рабочих программ на выбор, 4 работы в портфолио и возможность сделать проект своей квартиры, профессиональное комьюнити и мероприятия. ⭐ Обучение на дизайнера интерьера онлайн с сертификатом и помощью в трудоустройстве.",N/A,N/A,N/A,https://skillbox.ru/course/profession-interiordesigner/
4050,Профессия1С-программист,"⚡️Онлайн-курс «1C-программист» от Skillbox для начинающих: станьте 1C-разработчиком с нуля за 8 месяцев. ✅ Официальное свидетельство 1C, 29 практических работ, курс без лишней теории, обучение без жёстких дедлайнов. ⭐ Обучение на 1C-разработчика онлайн с сертификатом и помощью в трудоустройстве.","4.7 из 5",N/A,N/A,https://skillbox.ru/course/profession-1c/
22,"Профессия Веб-дизайнер","Онлайн-курс ⚡️ «Профессия Веб-дизайнер» от Skillbox для начинающих: станьте web-дизайнером с нуля за 12 месяцев. ✅ Вы научитесь создавать дизайн-макеты сайтов и мобильных приложений. ⭐ 15 реальных проектов для вашего портфолио в новом формате обучения. Обучение на дизайнера сайтов и приложений онлайн с сертификатом и помощь в трудоустройстве!",N/A,N/A,N/A,https://skillbox.ru/course/profession-webdesigner/
2632,"Профессия 3D-дженералист","⚡️Онлайн-курс «3D-дженералист» от Skillbox для начинающих: станьте универсальным специалистом в создании 3d-моделей для игр, кино и рекламы с нуля за 13 месяцев. 🍋Выиграйте 3 млн от студии GameBox. ⭐ Обучение на 3D-дженералиста онлайн с сертификатом и помощь в трудоустройстве!","4.9 из 5",N/A,N/A,https://skillbox.ru/course/3d-generalist/
973,"Профессия Дизайнер жилых и коммерческих интерьеров","⚡️Онлайн-курс «Дизайнер жилых и коммерческих интерьеров» от Skillbox для начинающих: станьте дизайнером жилых и коммерческих помещений с нуля за 14 месяцев. ✅ 8 рабочих программ на выбор, 5 проектов в портфолио и возможность сделать проект своей квартиры. ⭐ Обучение на дизайнера интерьера онлайн с сертификатом и помощью в трудоустройстве.",N/A,N/A,N/A,https://skillbox.ru/course/profession-designer-interior/
4452,"Профессия Java-разработчик","⚡️Онлайн-курс программирования для начинающих «Java-разработчик» от Skillbox: стань программистом на языке Java с нуля. Вы научитесь писать код и создавать сайты на самом популярном языке программирования. ⭐Обучение на Java-программиста в Москве, Санкт-Петербурге и в любом регионе РФ с сертификатом и трудоустройством.","4.7 из 5",N/A,N/A,https://skillbox.ru/course/profession-java/
1201,"Профессия Бухгалтер","⚡️Онлайн-курс «Бухгалтер» от Skillbox для начинающих: станьте дипломированным бухгалтером с нуля за 6 месяцев. ✅ Вы научитесь вести бухучет в программе 1С: Бухгалтерия. ⭐ Много практики на реальных задачах, проекты для портфолио. Обучение на дипломированного бухгалтера онлайн с сертификатом и помощь в трудоустройстве!","4.9 из 5",N/A,N/A,https://skillbox.ru/course/profession-accountant/
3975,"Инфографика для маркетплейсов","⚡️Онлайн-курс «Инфографика для маркетплейсов» от Skillbox для начинающих: станьте дизайнером на маркетплейсах с нуля за 3 месяца. ✅ Вы научитесь создавать привлекательные карточки товаров для увеличения продаж брендов. ⭐ Создай 6 карточек портфолио, изучая Figma, Photoshop и After Effects. Обучение на дизайнера на маркетплейсах онлайн с сертификатом и помощь в трудоустройстве!","4.8 из 5",N/A,N/A,https://skillbox.ru/course/infographics-for-marketplaces/
4141,"Профессия Фронтенд-разработчик","⚡️Онлайн-курс по программированию «Фронтенд-разработчик» от Skillbox для начинающих: станьте фронтенд-разработчиком с нуля за 9 месяцев. ✅ Уникальная методика обучения верстке 4C/ID, проекты в портфолио от реальных заказчиков, практика на тренажёрах, вебинары с «Газпромбанк.Тех». ⭐ Обучение на фронтенд-разработчика онлайн с сертификатом и помощью в трудоустройстве.",N/A,N/A,N/A,https://skillbox.ru/course/frontend-developer/
1938,"Профессия Data scientist","Онлайн-курс «Профессия Data scientist» — Skillbox: стань специалистом по Data Science. Курс ведут: Алексей Подкидышев (Microsoft), Юлдуз Фаттахова (Сбербанк). Обучение на специалиста по Data Science в Москве, Санкт-Петербурге и в любом регионе РФ с сертификатом и трудоустройством.","4.6 из 5",N/A,N/A,https://skillbox.ru/course/profession-data-scientist/
reverse_engineering,"Специалист по 3D-печати и реверс-инжинирингу","⚡️Онлайн-курс «Специалист по 3D-печати и реверс-инжинирингу» от Skillbox для начинающих с нуля за 8 месяцев. ✅ Вы научитесь 3D-печати и реверс-инжинирингу. ⭐ Получите дипломы Skillbox и МИФИ с практикой в Ростех для карьерного роста. Обучение на специалиста по 3D-печати и реверс-инжинирингу онлайн с сертификатом по окончанию.",N/A,N/A,N/A,https://skillbox.ru/course/reverse_engineering/
1867,ПрофессияUX/UI-дизайнер,"⚡️Онлайн-курс «UX/UI-дизайнер» от Skillbox для начинающих: станьте ux/ui-дизайнером с нуля за 9 месяцев. ✅ Вы научитесь создавать удобные и красивые цифровые продукты. ⭐ Обнови навыки с 4 проектами и практикой в команде дизайна Skillbox. Обучение на ux/ui-дизайнера онлайн с сертификатом по окончанию.","4.8 из 5",N/A,N/A,https://skillbox.ru/course/profession-ux/
296,"Профессия Режиссёр монтажа","⚡️Онлайн-курс «Режиссёр монтажа» от Skillbox для начинающих: станьте монтажёром или специалистом постпродакшна с нуля за 9 месяцев. ✅ Вы научитесь монтировать кино, рекламу, клипы и ролики для соцсетей. ⭐ Стажировка в команде монтажёров Skillbox, командные проекты, общение с экспертами. Обучение на режиссёра монтажа онлайн с сертификатом и помощью в трудоустройстве.",N/A,N/A,N/A,https://skillbox.ru/course/film-editor/
4125,"Программист микроконтролле­ров","⚡️Онлайн-курс «Программист микроконтролле­ров» от Skillbox для начинающих: станьте программистом микроконтролле­ров с нуля за 12 месяцев. ⭐ Учись у преподавателей НИЯУ МИФИ с вебинарами и практикой на реальных кейсах. Обучение на программиста микроконтролле­ров онлайн с сертификатом по окончанию.",N/A,N/A,N/A,https://skillbox.ru/course/profession-programmer-of-microcontrollers/
3497,"Профессия Бизнес-аналитик","⚡️Онлайн-курс «Бизнес-аналитик» от Skillbox для начинающих: станьте бизнес-аналитиком с нуля за 8 месяцев. ✅ Вы научитесь разрабатывать стратегии, анализировать бизнес-процессы и управлять рисками. ⭐ 9 месяцев доступа к Business Studio и практика от Газпромбанка и Nefis. Обучение на бизнес-аналитика онлайн с сертификатом и помощь в трудоустройстве!",4.7,N/A,N/A,https://skillbox.ru/course/profession-business-analyst/
4503,"Профессия Инженер по тестированию","⚡️Онлайн-курс программирования «Профессия Инженер по тестированию» от Skillbox для начинающих: станьте инженером по тестированию с нуля за 10 месяцев. ✅ 3 языка программирования на выбор, практика с первого занятия, 3 проекта в портфолио, выход на фриланс через полгода обучения. ⭐ Обучение на тестировщика онлайн с сертификатом и помощью в трудоустройстве.","4.8 из 5",N/A,N/A,https://skillbox.ru/course/profession-test/
61,"Профессия Интернет-маркетолог","⚡️Онлайн-курс «Интернет-маркетолог» от Skillbox для начинающих: станьте интернет-маркетологом с нуля за 12 месяцев. ✅ Вы научитесь привлекать клиентов онлайн для увеличения заказов и дохода бизнеса. ⭐ Выбери одну из 4 специализаций и получи 5000 рублей на продвижение. Обучение на интернет-маркетолога онлайн с сертификатом и помощь в трудоустройстве!","4.9 из 5",N/A,N/A,https://skillbox.ru/course/profession-marketolog-old/
4191,"Топ-селлер на маркетплейсах","⚡️Онлайн-курс «Топ-селлер на маркетплейсах» от Skillbox для начинающих: станьте топ-селлером на маркетплейсах с нуля за 7 месяцев. ✅ Вы научитесь эффективно продвигать магазины на маркетплейсах. ⭐ Экономьте 150 000 руб, получайте бонусы и курсы по закупкам из Китая! Обучение на топ-селлера на маркетплейсах онлайн с сертификатом и помощь в трудоустройстве!",N/A,N/A,N/A,https://skillbox.ru/course/topseller/
